road_name,road_type_raw,road_category,road_length_meters,latitude,longitude
,residential,Inner Road,45.674041059387065,16.53721515,80.58745315
,residential,Inner Road,34.83405326416948,16.53698325,80.58757695
,tertiary,Main Road,23.594968348768766,16.5373438,80.5913005
,tertiary,Main Road,55.84642525629984,16.53700855,80.59117215
,tertiary,Main Road,21.15834802946235,16.53752905,80.59138245
,tertiary,Main Road,23.594968348768766,16.5373438,80.5913005
,residential,Inner Road,25.543495439974713,16.537488504142758,80.59123291430656
,residential,Inner Road,45.79742393300472,16.5379263,80.59030575
,residential,Inner Road,48.32957705332474,16.53773855,80.59070145
,residential,Inner Road,68.55495783022172,16.537557749999998,80.5903572
,residential,Inner Road,56.1273289994307,16.5380607,80.5906156
,residential,Inner Road,46.79838048461562,16.538109749999997,80.58991585
,residential,Inner Road,45.79742393300472,16.5379263,80.59030575
,residential,Inner Road,53.51124890096564,16.538234799999998,80.59022175
,residential,Inner Road,68.26488670673953,16.53774065,80.58997565
,residential,Inner Road,43.174819905496705,16.537961449999997,80.58735705000002
,residential,Inner Road,70.93945973679436,16.537760849999998,80.5870269
,residential,Inner Road,56.5701175577954,16.5382734,80.58729495
,residential,Inner Road,55.77040290330257,16.53786785,80.59101905
,residential,Inner Road,45.9377366864098,16.5382917,80.58952445
